epoch,precision,recall,f1,macro_roc_auc
1,0.7734,0.0789,0.021,0.4938
2,0.6099,0.0861,0.0342,0.4959
3,0.389,0.1005,0.0541,0.5261
4,0.7411,0.0981,0.0431,0.532
5,0.5916,0.0813,0.0212,0.5357
6,0.7702,0.0885,0.0287,0.5345
7,0.6384,0.0957,0.0471,0.5761
8,0.3832,0.1029,0.0588,0.6003
9,0.4333,0.1411,0.0879,0.6344
10,0.4378,0.201,0.1384,0.7032
11,0.5366,0.1699,0.1199,0.7363
12,0.1757,0.177,0.1338,0.7813
13,0.2305,0.2249,0.2004,0.8277
14,0.2979,0.2632,0.205,0.8456
15,0.2934,0.2871,0.2589,0.86
16,0.2858,0.2727,0.255,0.8689
17,0.2835,0.3014,0.2734,0.8799
18,0.3543,0.3469,0.3243,0.8861
19,0.2997,0.3373,0.3077,0.8929
20,0.353,0.3636,0.3376,0.9023
21,0.3624,0.3421,0.3218,0.9
22,0.3542,0.3445,0.3292,0.9011
23,0.336,0.3612,0.336,0.9036
24,0.37,0.3589,0.348,0.9013
25,0.3511,0.3589,0.3464,0.9114
26,0.3856,0.3732,0.3646,0.9121
27,0.3683,0.3684,0.3568,0.9123
28,0.4018,0.4091,0.3915,0.9201
29,0.4421,0.4378,0.4238,0.9234
30,0.4191,0.4043,0.3925,0.9231
31,0.4431,0.445,0.4294,0.9272
32,0.4247,0.4187,0.4136,0.9229
33,0.4214,0.4115,0.4029,0.9228
34,0.4534,0.4474,0.4372,0.928
35,0.4371,0.4354,0.4118,0.9265
36,0.4321,0.4354,0.4051,0.9234
37,0.4488,0.4402,0.43,0.9266
38,0.4389,0.433,0.4238,0.9239
39,0.469,0.4665,0.4552,0.9358
40,0.4788,0.4617,0.4525,0.9339
41,0.4885,0.4713,0.4567,0.934
42,0.4865,0.4713,0.4525,0.9405
43,0.5261,0.5024,0.4835,0.9412
44,0.4769,0.4737,0.4657,0.9414
45,0.4866,0.4761,0.4687,0.9414
46,0.5,0.488,0.4795,0.944
47,0.5126,0.5072,0.502,0.9435
48,0.555,0.5359,0.5309,0.9509
49,0.5554,0.5478,0.5379,0.95
50,0.5419,0.5383,0.5265,0.9471
51,0.486,0.4713,0.4652,0.949
52,0.5231,0.5072,0.4964,0.9425
53,0.5347,0.5311,0.5221,0.9491
54,0.508,0.5024,0.4918,0.9449
55,0.5248,0.5191,0.5119,0.9457
56,0.5849,0.5813,0.5704,0.9595
57,0.5393,0.5407,0.53,0.949
58,0.6153,0.6124,0.6076,0.9606
59,0.5733,0.5694,0.5614,0.9551
60,0.5896,0.5885,0.5818,0.9608
61,0.5725,0.5646,0.5619,0.9572
62,0.6182,0.6148,0.6088,0.962
63,0.5756,0.5694,0.5519,0.9519
64,0.6139,0.6029,0.5979,0.9627
65,0.6118,0.6148,0.6093,0.9597
66,0.5969,0.5933,0.5894,0.9609
67,0.6177,0.6148,0.6116,0.9605
68,0.647,0.6268,0.6221,0.964
69,0.627,0.6196,0.6175,0.964
70,0.6421,0.6364,0.6316,0.9668
71,0.6636,0.6603,0.6549,0.9698
72,0.6647,0.6555,0.6513,0.9672
73,0.6263,0.6124,0.6071,0.9626
74,0.6952,0.677,0.6725,0.9719
75,0.6218,0.6077,0.6048,0.9618
76,0.6526,0.6388,0.6343,0.9656
77,0.653,0.6435,0.6368,0.9653
78,0.6119,0.6005,0.6022,0.9623
79,0.6004,0.5861,0.5762,0.9597
80,0.6484,0.6483,0.6358,0.9672
