epoch,precision,recall,f1,macro_roc_auc
1,0.7004,0.0646,0.025,0.4918
2,0.6282,0.0861,0.0345,0.4918
3,0.612,0.0861,0.0421,0.5103
4,0.7718,0.0694,0.0189,0.5155
5,0.6182,0.0789,0.0329,0.5279
6,0.687,0.0742,0.0246,0.5424
7,0.4733,0.0837,0.046,0.5841
8,0.413,0.1459,0.0748,0.6266
9,0.3696,0.1531,0.0955,0.6627
10,0.2719,0.1722,0.1139,0.747
11,0.3175,0.1962,0.1658,0.7926
12,0.2848,0.2464,0.2243,0.8447
13,0.3431,0.3254,0.3006,0.8739
14,0.3093,0.2919,0.2704,0.8694
15,0.3665,0.3014,0.2538,0.8874
16,0.3433,0.3349,0.3029,0.8972
17,0.3554,0.3589,0.3439,0.9007
18,0.2908,0.3134,0.2777,0.8902
19,0.3332,0.3373,0.323,0.8983
20,0.3446,0.3445,0.2992,0.9051
21,0.3685,0.3756,0.348,0.9077
22,0.4299,0.3517,0.3158,0.9019
23,0.4104,0.3971,0.3802,0.9133
24,0.3977,0.39,0.3725,0.918
25,0.4021,0.3876,0.3687,0.9119
26,0.4752,0.4234,0.404,0.9249
27,0.4254,0.4091,0.396,0.9249
28,0.4154,0.4067,0.3945,0.9229
29,0.4181,0.4211,0.4116,0.9225
30,0.4497,0.4378,0.4213,0.9228
31,0.4097,0.4019,0.3719,0.9265
32,0.4059,0.4402,0.4078,0.9285
33,0.4565,0.4498,0.4258,0.923
34,0.4369,0.4378,0.4171,0.9329
35,0.5281,0.4809,0.4628,0.9359
36,0.5,0.4952,0.4798,0.9358
37,0.4903,0.4833,0.4747,0.9346
38,0.4512,0.4426,0.426,0.9333
39,0.5057,0.4665,0.4345,0.9375
40,0.4794,0.4498,0.4222,0.9369
41,0.5013,0.5024,0.4885,0.9431
42,0.4288,0.4187,0.396,0.9349
43,0.528,0.4976,0.4782,0.9481
44,0.5421,0.5335,0.5252,0.9467
45,0.5562,0.5167,0.5,0.9451
46,0.5255,0.512,0.4974,0.9464
47,0.5422,0.512,0.5007,0.9496
48,0.5069,0.5,0.4837,0.9399
49,0.4818,0.4761,0.4661,0.9381
50,0.5423,0.5359,0.5239,0.9526
51,0.5712,0.5598,0.5513,0.9547
52,0.5301,0.5191,0.5108,0.9509
53,0.5988,0.5933,0.5891,0.9554
54,0.5869,0.5789,0.5687,0.9566
55,0.6159,0.6053,0.5893,0.9585
56,0.6152,0.6053,0.6003,0.9627
57,0.5923,0.5789,0.5723,0.9558
58,0.5877,0.5766,0.5673,0.9571
59,0.6376,0.6244,0.6139,0.9603
60,0.5711,0.5526,0.5474,0.9538
61,0.6054,0.5957,0.5898,0.9614
62,0.6003,0.5766,0.5693,0.9542
63,0.6266,0.6268,0.6198,0.9652
64,0.6431,0.6411,0.6263,0.9652
65,0.663,0.6507,0.6459,0.9684
66,0.6787,0.6699,0.668,0.9677
67,0.6108,0.6005,0.5979,0.9628
68,0.6842,0.6722,0.6691,0.9723
69,0.6372,0.6292,0.627,0.9637
70,0.6642,0.6555,0.6519,0.9679
71,0.7194,0.7033,0.6972,0.9775
72,0.633,0.6196,0.6166,0.9652
73,0.6303,0.61,0.6083,0.9632
74,0.7233,0.7201,0.7184,0.9766
75,0.7083,0.6938,0.6903,0.9727
76,0.7155,0.7081,0.6999,0.9785
77,0.7201,0.7129,0.7112,0.9763
78,0.7526,0.7297,0.7297,0.9806
79,0.7246,0.7129,0.7107,0.9762
80,0.743,0.7368,0.7368,0.9795
81,0.7,0.6962,0.6928,0.9766
82,0.736,0.7273,0.727,0.9789
83,0.7607,0.7488,0.748,0.9814
84,0.6833,0.6722,0.6724,0.9709
85,0.724,0.7153,0.7137,0.9788
86,0.7507,0.7392,0.7375,0.9773
87,0.7718,0.7679,0.766,0.9825
88,0.7451,0.7225,0.721,0.9763
89,0.7047,0.689,0.6883,0.976
90,0.789,0.7799,0.7788,0.9818
91,0.7548,0.7464,0.746,0.9807
92,0.7757,0.7679,0.7655,0.9835
93,0.7527,0.744,0.7417,0.9798
94,0.8041,0.7967,0.796,0.985
95,0.8177,0.8086,0.8072,0.9871
96,0.7822,0.7703,0.7696,0.9847
97,0.8167,0.8086,0.8089,0.9878
98,0.7634,0.7584,0.7553,0.9836
99,0.7798,0.7679,0.7655,0.9836
100,0.7828,0.7727,0.7715,0.9832
